1.0 0.82
1.0 0.65
2.0 0.44
2.0 0.70
3.0 0.42
3.0 0.68
4.0 0.43
4.0 0.71
5.0 0.43
5.0 0.69
6.0 0.43
6.0 0.71
7.0 0.45
7.0 0.69
8.0 0.44
8.0 0.69
9.0 0.47
9.0 0.61
10.0 0.50
10.0 0.62
11.0 0.58
11.0 0.62
12.0 0.55
12.0 0.54
13.0 0.53
13.0 0.56
14.0 0.55
14.0 0.60
15.0 0.61
15.0 0.56
16.0 0.48
16.0 0.56
17.0 0.60
17.0 0.53
18.0 0.47
18.0 0.18
19.0 0.00
19.0 0.00
20.0 0.00
20.0 0.00
21.0 0.00
21.0 0.00
22.0 0.10
22.0 0.76
23.0 1.18
23.0 0.94
24.0 2.00
24.0 2.04
25.0 0.00
25.0 0.33
26.0 1.02
26.0 0.00
26.9 0.54
27.0 1.73
